"order_id","customer_id","order_date","channel","product_name","qty","revenue","refund_flag","promo_used","is_subscription","shipping_cost","discount_amount","net_revenue","is_repeat","retention_method","join_date","complaint_id","issue","rating","review_text","date_traffic","source_traffic","visitors"
"O0001","C655","2025-01-15","Website","GreenJuice","1","35000","0","FreeOngkir","1","5000","0.0","35000.0","1","subscription","2024-12-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0002","C605","2025-02-24","Website","BerryBoost","1","35000","0","FreeOngkir","0","20000","0.0","35000.0","0","none","2025-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0003","C226","2025-02-27","GoFood","BerryBoost","1","45000","0","FreeOngkir","0","15000","0.0","45000.0","0","none","2024-11-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0004","C105","2025-01-12","Website","GreenJuice","2","90000","0","FreeOngkir","0","5000","0.0","90000.0","0","subscription","2024-12-28",NULL,NULL,"3","Kemasan oke",NULL,NULL,NULL
"O0005","C388","2025-01-11","GoFood","TropicalCleanse","3","120000","0","-","0","10000","0.0","120000.0","0","subscription","2024-12-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0006","C297","2025-01-11","GrabFood","BerryBoost","2","80000","0","-","0","15000","0.0","80000.0","0","discount","2024-12-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0007","C215","2025-03-27","Website","TropicalCleanse","3","105000","0","FreeOngkir","1","10000","0.0","105000.0","1","none","2024-11-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0008","C474","2025-02-18","Website","TropicalCleanse","3","135000","0","Diskon10%","1","5000","13500.0","121500.0","1","subscription","2024-12-15","CMP0014",NULL,NULL,NULL,NULL,NULL,NULL
"O0009","C235","2025-01-05","GrabFood","GreenJuice","2","70000","0","FreeTrial","1","15000","0.0","70000.0","1","subscription","2024-12-15",NULL,NULL,"3","Gak enak",NULL,NULL,NULL
"O0010","C218","2025-03-25","GoFood","TropicalCleanse","2","70000","0","FreeOngkir","0","15000","0.0","70000.0","0","none","2024-11-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0011","C599","2025-02-24","GrabFood","GreenJuice","2","70000","1","FreeOngkir","0","5000","0.0","70000.0","1","discount","2024-11-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0012","C113","2025-01-20","GoFood","TropicalCleanse","2","90000","0","Diskon10%","1","15000","9000.0","81000.0","0","none","2024-11-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0013","C567","2025-01-02","GoFood","BerryBoost","3","135000","0","-","0","15000","0.0","135000.0","1","subscription","2024-11-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0014","C446","2025-01-21","GoFood","TropicalCleanse","3","120000","1","-","0","5000","0.0","120000.0","0","subscription","2024-11-20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0015","C641","2025-02-08","GrabFood","TropicalCleanse","3","105000","0","-","0","5000","0.0","105000.0","1","subscription","2024-11-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0016","C614","2025-02-11","GoFood","BerryBoost","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","none","2024-12-31",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0017","C088","2025-03-04","GrabFood","TropicalCleanse","1","35000","0","FreeTrial","0","20000","0.0","35000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0018","C217","2025-03-11","GrabFood","TropicalCleanse","1","45000","0","FreeTrial","0","20000","0.0","45000.0","1","discount","2024-12-29",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0019","C530","2025-02-27","Website","BerryBoost","1","40000","0","Diskon20%","0","5000","8000.0","32000.0","1","discount","2024-11-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0020","C073","2025-03-22","Website","BerryBoost","1","40000","0","FreeOngkir","0","10000","0.0","40000.0","0","subscription","2024-11-08",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0021","C553","2025-01-17","GrabFood","TropicalCleanse","3","120000","0","Diskon10%","0","5000","12000.0","108000.0","0","discount","2024-11-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0022","C100","2025-03-26","GoFood","GreenJuice","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","subscription","2024-11-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0023","C063","2025-02-21","GrabFood","BerryBoost","1","35000","0","Diskon10%","0","15000","3500.0","31500.0","0","subscription","2024-11-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0024","C474","2025-02-01","GrabFood","BerryBoost","2","90000","0","-","0","5000","0.0","90000.0","1","subscription","2024-12-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0025","C096","2025-01-31","Website","GreenJuice","2","70000","0","FreeTrial","0","5000","0.0","70000.0","1","discount","2024-12-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0026","C400","2025-02-03","Gym","GreenJuice","2","80000","0","-","1","20000","0.0","80000.0","0","subscription","2024-11-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0027","C159","2025-01-25","Website","BerryBoost","3","135000","0","-","0","20000","0.0","135000.0","1","discount","2024-12-06",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0028","C515","2025-03-09","Website","TropicalCleanse","1","35000","0","FreeOngkir","1","20000","0.0","35000.0","1","discount","2024-12-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0029","C123","2025-03-14","Website","TropicalCleanse","1","45000","0","-","0","15000","0.0","45000.0","0","none","2024-12-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0030","C268","2025-01-27","GoFood","GreenJuice","1","40000","0","-","0","15000","0.0","40000.0","0","subscription","2024-11-14",NULL,NULL,"5","Puas banget!",NULL,NULL,NULL
"O0031","C075","2025-01-02","GoFood","TropicalCleanse","1","35000","0","Diskon20%","0","15000","7000.0","28000.0","0","subscription","2024-11-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0032","C071","2025-02-01","Website","BerryBoost","2","90000","0","Diskon20%","1","5000","18000.0","72000.0","1","none","2024-11-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0033","C684","2025-03-12","Website","TropicalCleanse","1","35000","0","-","1","10000","0.0","35000.0","0","discount","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0034","C279","2025-02-06","GoFood","TropicalCleanse","2","70000","0","-","0","15000","0.0","70000.0","1","discount","2024-12-23",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0035","C053","2025-01-12","GoFood","GreenJuice","1","35000","0","FreeOngkir","1","10000","0.0","35000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0036","C453","2025-03-12","GrabFood","TropicalCleanse","1","35000","0","-","1","5000","0.0","35000.0","0","subscription","2024-11-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0037","C379","2025-03-16","GoFood","GreenJuice","1","35000","0","-","1","5000","0.0","35000.0","0","none","2024-11-10",NULL,NULL,"5","Kurang manis",NULL,NULL,NULL
"O0038","C367","2025-01-27","GoFood","TropicalCleanse","1","40000","0","-","0","10000","0.0","40000.0","0","discount","2024-11-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0039","C243","2025-01-21","Gym","BerryBoost","2","70000","0","FreeTrial","1","20000","0.0","70000.0","1","discount","2024-12-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0040","C686","2025-02-01","Website","TropicalCleanse","1","40000","0","-","0","20000","0.0","40000.0","0","subscription","2024-11-20",NULL,NULL,"5","Terlambat datang",NULL,NULL,NULL
"O0041","C359","2025-02-09","GrabFood","BerryBoost","1","35000","0","Diskon10%","0","5000","3500.0","31500.0","0","subscription","2024-12-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0042","C286","2025-02-14","GoFood","GreenJuice","3","135000","0","FreeOngkir","1","15000","0.0","135000.0","1","none","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0043","C183","2025-03-16","Gym","GreenJuice","1","35000","0","Diskon10%","1","20000","3500.0","31500.0","1","discount","2024-11-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0044","C621","2025-03-07","Website","TropicalCleanse","1","40000","0","Diskon10%","0","10000","4000.0","36000.0","1","none","2024-12-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0045","C373","2025-02-25","Website","TropicalCleanse","2","90000","0","-","1","15000","0.0","90000.0","1","none","2024-12-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0046","C520","2025-02-09","GoFood","GreenJuice","2","90000","0","FreeOngkir","0","20000","0.0","90000.0","1","subscription","2024-12-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0047","C694","2025-01-23","GoFood","GreenJuice","2","90000","0","Diskon10%","0","15000","9000.0","81000.0","0","subscription","2024-11-27",NULL,NULL,"4","Enak dan segar!",NULL,NULL,NULL
"O0048","C477","2025-02-26","GoFood","BerryBoost","3","120000","0","FreeTrial","1","5000","0.0","120000.0","0","subscription","2024-11-29",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0049","C291","2025-03-07","GoFood","TropicalCleanse","2","70000","0","-","0","10000","0.0","70000.0","0","none","2024-11-26",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0050","C204","2025-01-19","Website","BerryBoost","2","90000","0","FreeOngkir","0","10000","0.0","90000.0","0","subscription","2024-11-16","CMP0035",NULL,NULL,NULL,NULL,NULL,NULL
"O0051","C394","2025-03-05","Website","BerryBoost","3","135000","0","-","1","5000","0.0","135000.0","0","subscription","2024-12-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0052","C436","2025-01-29","Website","TropicalCleanse","3","120000","0","FreeOngkir","1","20000","0.0","120000.0","0","none","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0053","C137","2025-03-01","GoFood","TropicalCleanse","3","120000","1","-","0","20000","0.0","120000.0","0","subscription","2024-11-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0054","C562","2025-02-27","GrabFood","TropicalCleanse","2","80000","0","FreeOngkir","0","20000","0.0","80000.0","0","discount","2024-11-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0055","C642","2025-01-31","Website","BerryBoost","3","120000","0","Diskon10%","1","5000","12000.0","108000.0","0","none","2024-11-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0056","C142","2025-01-20","Website","TropicalCleanse","1","45000","0","Diskon10%","0","20000","4500.0","40500.0","0","discount","2024-11-08",NULL,NULL,"3","Sesuai deskripsi",NULL,NULL,NULL
"O0057","C426","2025-01-08","Website","GreenJuice","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","0","none","2024-11-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0058","C489","2025-01-01","Gym","GreenJuice","2","80000","0","-","1","10000","0.0","80000.0","1","subscription","2024-11-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0059","C500","2025-01-29","Website","GreenJuice","1","40000","0","-","0","10000","0.0","40000.0","0","none","2024-11-23",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0060","C479","2025-01-17","Gym","TropicalCleanse","1","40000","0","-","0","20000","0.0","40000.0","0","subscription","2024-12-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0061","C139","2025-03-01","Website","GreenJuice","2","80000","0","Diskon10%","1","20000","8000.0","72000.0","0","subscription","2024-12-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
