customer_id,join_date,is_repeat,is_subscription,retention_method
C655,2024-12-07,1,1,subscription
C605,2025-01-01,0,0,none
C226,2024-11-10,0,0,none
C105,2024-12-28,0,0,subscription
C388,2024-12-11,0,1,subscription
C297,2024-12-17,0,0,discount
C215,2024-11-17,1,0,none
C474,2024-12-15,1,0,subscription
C235,2024-12-15,1,1,subscription
C218,2024-11-13,0,1,none
C599,2024-11-24,1,0,discount
C113,2024-11-12,0,0,none
C567,2024-11-17,1,1,subscription
C446,2024-11-20,0,0,subscription
C641,2024-11-02,1,0,subscription
C614,2024-12-31,0,1,none
C088,2024-12-04,1,0,discount
C217,2024-12-29,1,0,discount
C530,2024-11-02,1,0,discount
C073,2024-11-08,0,1,subscription
C553,2024-11-27,0,0,discount
C100,2024-11-14,0,0,subscription
C063,2024-11-28,0,0,subscription
C096,2024-12-21,1,0,discount
C400,2024-11-25,0,0,subscription
C159,2024-12-06,1,0,discount
C515,2024-12-14,1,0,discount
C123,2024-12-19,0,0,none
C268,2024-11-14,0,0,subscription
C075,2024-11-27,0,0,subscription
C071,2024-11-12,1,1,none
C684,2024-11-19,0,0,discount
C279,2024-12-23,1,0,discount
C053,2024-12-04,1,1,discount
C453,2024-11-10,0,0,subscription
C379,2024-11-10,0,0,none
C367,2024-11-17,0,1,discount
C243,2024-12-10,1,0,discount
C686,2024-11-20,0,1,subscription
C359,2024-12-11,0,0,subscription
C286,2024-11-19,1,1,none
C183,2024-11-17,1,0,discount
C621,2024-12-17,1,0,none
C373,2024-12-04,1,0,none
C520,2024-12-12,1,0,subscription
C694,2024-11-27,0,1,subscription
C477,2024-11-29,0,0,subscription
C291,2024-11-26,0,0,none
C204,2024-11-16,0,0,subscription
C394,2024-12-04,0,0,subscription
C436,2024-11-19,0,1,none
C137,2024-11-28,0,1,subscription
C562,2024-11-04,0,0,discount
C642,2024-11-15,0,0,none
C142,2024-11-08,0,0,discount
C426,2024-11-25,0,0,none
C489,2024-11-02,1,1,subscription
C500,2024-11-23,0,1,none
C479,2024-12-21,0,0,subscription
C139,2024-12-13,0,0,subscription
C285,2024-12-28,0,0,none
C666,2024-11-09,0,1,none
C245,2024-12-24,0,1,subscription
C168,2024-11-06,1,0,discount
C078,2024-12-18,0,1,none
C580,2024-12-18,0,0,discount
C502,2024-12-07,1,1,none
C631,2024-11-24,1,0,none
C187,2024-11-09,1,0,discount
C459,2024-12-05,1,0,subscription
C103,2024-11-12,0,0,subscription
C452,2024-11-20,0,0,none
C156,2024-11-14,1,0,none
C536,2024-12-06,1,1,subscription
C213,2024-11-30,1,0,discount
C462,2024-11-27,1,0,subscription
C240,2024-11-12,0,0,subscription
C664,2024-12-28,1,0,none
C450,2024-12-17,1,0,subscription
C613,2024-11-20,1,0,subscription
C689,2024-11-16,0,0,subscription
C651,2024-12-12,0,1,subscription
C422,2024-11-19,1,0,subscription
C414,2024-12-24,0,0,none
C125,2024-11-24,1,1,discount
C231,2024-11-07,1,1,discount
C072,2024-12-18,0,1,discount
C153,2024-11-22,1,0,subscription
C680,2024-12-24,0,1,discount
C272,2024-11-13,0,0,none
C325,2024-12-27,1,1,subscription
C233,2024-12-18,1,0,none
C048,2024-11-18,1,0,none
C175,2024-11-15,1,0,discount
C654,2024-11-15,0,1,discount
C354,2024-11-11,0,1,discount
C110,2024-11-25,0,0,discount
C282,2024-11-13,0,1,subscription
C236,2024-11-14,0,1,subscription
C644,2024-12-13,0,0,subscription
