"order_id","customer_id","channel","product_name","qty","revenue","refund_flag","promo_used","is_subscription","shipping_cost","discount_amount","net_revenue","is_repeat","retention_method","join_date","complaint_id","issue","rating","review_text","source_traffic","visitors","traffic_date","order_date"
"O0001","C655","Website","GreenJuice","1","35000","0","FreeOngkir","1","5000","0.0","35000.0","1","subscription","2024-12-07",NULL,NULL,NULL,NULL,"IG Ads","224","2025-01-01","2025-01-15"
"O0002","C605","Website","BerryBoost","1","35000","0","FreeOngkir","0","20000","0.0","35000.0","0","none","2025-01-01",NULL,NULL,NULL,NULL,"GoFood","421","2025-01-01","2025-02-24"
"O0003","C226","GoFood","BerryBoost","1","45000","0","FreeOngkir","0","15000","0.0","45000.0","0","none","2024-11-10",NULL,NULL,NULL,NULL,"Google Sea","474","2025-01-01","2025-02-27"
"O0004","C105","Website","GreenJuice","2","90000","0","FreeOngkir","0","5000","0.0","90000.0","0","subscription","2024-12-28",NULL,NULL,"3","Kemasan oke","Email Camp","368","2025-01-01","2025-01-12"
"O0005","C388","GoFood","TropicalCleanse","3","120000","0","Tidak","0","10000","0.0","120000.0","0","subscription","2024-12-11",NULL,NULL,NULL,NULL,"IG Ads","272","2025-01-02","2025-01-11"
"O0006","C297","GrabFood","BerryBoost","2","80000","0","Tidak","0","15000","0.0","80000.0","0","discount","2024-12-17",NULL,NULL,NULL,NULL,"GoFood","493","2025-01-02","2025-01-11"
"O0007","C215","Website","TropicalCleanse","3","105000","0","FreeOngkir","1","10000","0.0","105000.0","1","none","2024-11-17",NULL,NULL,NULL,NULL,"Google Sea","268","2025-01-02","2025-03-27"
"O0008","C474","Website","TropicalCleanse","3","135000","0","Diskon10%","1","5000","13500.0","121500.0","1","subscription","2024-12-15","CMP0014","Produk rusak",NULL,NULL,"Email Camp","450","2025-01-02","2025-02-18"
"O0009","C235","GrabFood","GreenJuice","2","70000","0","FreeTrial","1","15000","0.0","70000.0","1","subscription","2024-12-15",NULL,NULL,"3","Gak enak","IG Ads","423","2025-01-03","2025-01-05"
"O0010","C218","GoFood","TropicalCleanse","2","70000","0","FreeOngkir","0","15000","0.0","70000.0","0","none","2024-11-13",NULL,NULL,NULL,NULL,"GoFood","426","2025-01-03","2025-03-25"
"O0011","C599","GrabFood","GreenJuice","2","70000","1","FreeOngkir","0","5000","0.0","70000.0","1","discount","2024-11-24",NULL,NULL,NULL,NULL,"Google Sea","435","2025-01-03","2025-02-24"
